год попадания,автор/авторы,книга,цикл,аннотация,оценка *,оценка цифрой,этап,№ обзора,Ссылка на выпуск обзора,Ссылка на роман,Перенесено в этот файл из других источников,Комментарии переносов,Редакция строки,,,линк,,время,Review,StoryYear,,,,Служебные отметки,LC
1990,Тамбовский Сергей,2. Кирпичики-2,Кирпичики,Продолжение приключений попаданца в бойца МЖК Сани Лётчика в 1990 году,***,3,закончено,239,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил завершено. Ivlaoox 09/02/22,,,https://author.today/work/206377,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-239-62d8dc3f300c314d7dd9bc02,1990,,,,+++++,
1989,Афонский Игорь,"1. Let's go в прошлое, в мореходное училище.",Let's go в прошлое,"Альтернативная история, мало совпадающая с реальной действительностью. Про ""попаданца"". 90-ые. Прибалтика. Мореходное училище. Потом, как карта ляжет...",***,3,закончено,311,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/2470744,,,https://dzen.ru/a/ZAWPH1FOKAPDwsvR,1989,,,,,
1989,Афонский Игорь,2. Let's go в прошлое -2,Let's go в прошлое,"Вторая часть, продолжение книги про ""попаданца"". В первой части, главный герой выпускается из мореходношо училища, и понимает, что в новой своей жизни ему следует жить как-то иначе. Все его попытки заработать в любых вроде выгодных делах, становятся началом новых проблем и путешествий. Так он стал владельцем целой сети сотовой связи в области, что должно было сделать его семью богатыми людьми, но разные подробности, о которых он раньше не подозревал, приводят его к новым последствиям. Неприятности просто ""липнут"" к ним. Впрочем, он до сих пор не понял, по какой причине, и кто именно вернул его, или просто вызвал. Ведь, теперь Олег, это только какой-то бывший курсант, которым ему удалось вдруг стать. Единственный бонус при его появлении, это некое ""послезнание, которым он мог бы оперировать, но чем дальше жизнь, тем больше в ней необратимых изменений. Что дальше? Посмотрим...",***,3,закончено,311,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/257611,,,https://dzen.ru/a/ZAWPH1FOKAPDwsvR,1989,,,,,
1989,Афонский Игорь,3. Let's go в прошлое - 3.,Let's go в прошлое,Третья книга.,***,3,закончено,331,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/272283,,,https://dzen.ru/a/ZGWyMHhSKm279nt8,1989,,,,,
1989,Высоцкий Василий,Кодекс пацана. Назад в СССР,,"Я вернулся назад. Вернулся туда, где страна по имени СССР ещё дышала на ладан. В страну не дураков, но умирающих гениев. И вернулся затем, чтобы повести за собой. Чтобы прожить новую жизнь и попытаться изменить если не всё, то многое...",***,3,пишется,370,ссылка на обзор,ссылка,31.01.24 WV,,,,,https://author.today/work/314758,,,https://boosty.to/popal/posts/7761fff6-adab-4def-81c3-01a2eefb3d87,,,,,,
1989,Гуров Валерий,1. Тренер: молодежка,Вперед Спартак!,"Мечтаешь о красивом футболе? Забудь, Иван Сергеевич, большой спорт полностью контролируется, здесь нет места воображению. Не согласен? Ты уволен, чертов пенсионер! И как дальше, когда без футбола нет огня, счастья нет? Не стало денег - ушла жена, друзья отвернулись, жизнь превратилась в медленное угасание. А потом в подворотне бывший воспитанник – ножом под ребра! И самой жизни тоже не стало. Но, видимо, есть футбольный бог, для которого главное – игра, а не нажива. Иван получил шанс все исправить. Его сознание перенеслось в тело молодого футболиста. На дворе 1989 год, он бежит по полю, трибуны скандируют: «Вперед, Спартак!» Но травма выводит его из игры. Теперь он снова тренер, но сделается все по-другому. Кто сказал, что судьбу не изменить? Свисток и матч длиною в жизнь начался…",***,3,закончено,344,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/282354,,,https://dzen.ru/a/ZKznZFz5bxwv_525,1989,,,,,
1989,Гуров Валерий,2. Тренер: молодежка. Книга 2,Вперед Спартак!,"Наш современник Иванов получил шанс заново прожить жизнь футбольного тренера. Начальник футбольного ""Спартака"" отправляет его тренировать молодых и голодных до побед футболистов в летний лагерь ""Колосок"". Задача - выиграть турнир между лагерями и доказать Олегу Ивановичу, что молодежь достойна просмотра в основной команде.",***,3,закончено,346,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/286097,,,https://dzen.ru/a/ZMFkWs9f0ELnyFOw,1989,,,,,
1989,Держапольский Виталий,1. Мутные времена,Халява,"Когда в руки Сереги Юсупова попало невзрачное колечко, он даже не понял, какую Удачу он ухватил за хвост. Перстенек, купленный с рук у знакомого алкоголика, оказался весьма непростым...",***,3,закончено,#Н/Д,#Н/Д,ссылка,,,Исправил имя автора Ivlaoox 15/02/23,,,https://author.today/work/100581,,,#Н/Д,1989,,,,+++++,
1989,Держапольский Виталий,2. Весы правосудия,Халява,"Когда в руки Сереги Юсупова попало невзрачное колечко, он даже не понял, какую Удачу он ухватил за хвост. Перстенек, купленный с рук у знакомого алкоголика, оказался весьма непростым...",***,3,закончено,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/102471,,,#Н/Д,1989,,,,+++++,
1989,Держапольский Виталий,3. Общага 90-е. Часть первая.,Халява,"Домашний мальчик из небольшого поселка, закончив с отличием школу, отправляется учиться в институт. Избавившись от опостылевшей и чрезмерной опеки родителей и дорвавшись до безграничной свободы, он пускается во все тяжкие. Да и как не пуститься, если крышу срывает не только у него, но и у всей некогда великой страны Советов - ведь на дворе страшные, но такие веселые 90-е… Секс, наркотики, рок-н-ролл… Хотя, вру – не будет этого… рок-н-ролла. Диско, техно, поп, панк-рок, рок и ностальгия…",**,2,закончено,146,ссылка на обзор,ссылка,,,добавил завершено. Ivlaoox 09/02/22,,,https://author.today/work/130757,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-146-60db22427403af22afc67f68,1991,,,,+++++,
1989,Держапольский Виталий,4. Общага 90-е. Часть вторая,Халява,"Злодейка-судьба вновь забросила Серегу Юсупова в веселые 90-е. Однако, в отличие от предыдущего возвращения, его сознание не вытеснило из тела разум юного студента. Оно не срослось с ним в единое целое, не поглотило без остатка, а осталось отдельной личностью, плавающей где-то в глубине подсознания молодого Сереги, и лишь изредка выныривающей на поверхность. Самое странное, что перехват управления телом еще не оперившегося юнца, происходит лишь в моменты сильного опьянения реципиента. А что может натворить вечно молодой и вечно пьяный попаданец из будущего, да еще и обладающий едва ли не божественными возможностями? По силам ли ему в таком состоянии защитить обычных обывателей от разгулявшейся преступности? Сможет ли он на этот раз спасти агонизирующую страну от неминуемого падения в бездну? Или он по-прежнему лишь бездарно разменяется по мелочам?",**,2,закончено,146,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил книгу в цикл. Ivlaoox 15/02/23,,,https://author.today/work/175380,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-146-60db22427403af22afc67f68,,,,,+++++,
1989,Доманчук Наталия,2. Теоремы судьбы,Теорема жизни,"Даша Горячева была вполне довольна своей жизнью, дожила до тридцати трех лет, а потом, по настоянию подруги, пошла к гадалке. Проснулась она младенцем, которого родители почему-то называли Данилой. Но и на этом приключения не закончились и ей, вернее уже Даниле, пришлось еще не раз пожалеть о наличие такой подруги.",***,3,закончено,"спецвыпуск ""О ЛЫР - ты Мир!""",ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,"добавил завершено, название цикла. Ivlaoox 09/02/23",,,https://litgorod.ru/books/view/8082,,,https://zen.yandex.ru/media/backinussr/o-lyr-ty-mir-6305f4a5b7ca3f07681bcd8c?&,1989,,,,+++++,
1989,Конфитюр Марципана,"Мама, папа, я и Перестройка",,"Все попаданцы как попаданцы, один я -- болван невезучий! Угодил в себя шестилетнего. Трахать одноклассниц еще рано, предотвращать катастрофу в Чернобыле -- поздно, спасать СССР -- бессмысленно... В общем, хожу в садик, ем манную кашу, смотрю программу ""Взгляд"" по телевизору и просто офигеваю. Может, хоть на жизнь собственной семьи я смогу как-то повлиять?.. Примечания автора:Пишу ради воспоминаний детства и ради атмосферы Перестройки. В процессе. На момент начала выкладки написано 100 тыс, думаю, в итоге будет 200-300 тыс.",***,3,пишется,372,ссылка на обзор,ссылка,31.01.24 WV,,,,,https://author.today/work/309031,,,https://boosty.to/popal/posts/562ba669-bed3-496b-81ac-408b74189310,,,,,,
1989,Малов Владимир,Зачет по натуральной истории,,"Урок ботаники в обычном классе обычной московской был прерван непонятным явлением — в классе начали раздаваться непонятные посторонние голоса. Учительница в истерике, одноклассники теряются в догадках, а друзья Петр и Костя решают не гадать, а выяснить, в чем дело, и постараться вступить в контакт с... инопланетянами?",***,3,издано,127,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,год анотация IMRYK 16/2,,,http://flibusta.is/b/305424,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-127-606f458dc575c815f08dacf4,,,,,+++++,
1989,Смолин Павел Александрович,01. Моя анимежизнь,Моя анимежизнь,"Книга о жизни в теле обычного японского школьника. Время действия - 1989 год. Никаких роялей, никакой прокачки, никаких эпических битв за место короля школы. Текстовое аниме жанра ""повседневность"".",***,3,закончено,214,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил завершено. Ivlaoox 09/02/22,,,https://author.today/work/183452,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-214-625032860063de3da1a3054e?&,1989,,,,+++++,
1989,Смолин Павел Александрович,02. Золотая Неделя,Моя анимежизнь,"Продолжение приключений попаданца в тело обычного японского школьника в 1989г. Текстовое аниме жанра ""повседневность"". Вторая книга цикла.",***,3,закончено,217,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил завершено. Ivlaoox 09/02/22,,,https://author.today/work/187698,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-217-625f9658df28276f2130e741?&,1989,,,,+++++,
1989,Смолин Павел Александрович,03. В ожидании каникул,Моя анимежизнь,"Третья книга о попаданце в японского школьника в 1989 году. Текстовое аниме жанра ""Повседневность"".",***,3,закончено,226,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил завершено. Ivlaoox 09/02/22,,,https://author.today/work/193041,,,https://dzen.ru/a/Ypb1XdEW4mmfMzAX?&,1989,,,,+++++,
1989,Смолин Павел Александрович,04. Эпоха Фестивалей,Моя анимежизнь,"Четвертая книга о попаданце в японского школьника в 1989 году. Текстовое аниме жанра ""Повседневность"".",***,3,закончено,232,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил завершено. Ivlaoox 09/02/22,,,https://author.today/work/200431,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-232-62b4000a0e49941961f6f062?&,1989,,,,+++++,
1989,Смолин Павел Александрович,05. Осеннее небо,Моя анимежизнь,Пятая часть текстового аниме о попаданце в японского школьника в 1989 году.,***,3,закончено,246,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил завершено. Ivlaoox 09/02/22,,,https://author.today/work/212197,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-246-62f5312a93f0694283268754?&,1989,,,,+++++,
1989,Смолин Павел Александрович,06. Околозима,Моя анимежизнь,6 книга,***,3,закончено,258,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил завершено. Ivlaoox 09/02/22,,,https://author.today/work/218484,,,https://dzen.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-258-6321510015a7bb3d557482a7?&,1989,,,,+++++,
1989,Смолин Павел Александрович,07. 90-е,Моя анимежизнь,Седьмая часть текстового аниме о попаданце в японского школьника в 1989 году.,***,3,закончено,272,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил завершено. Ivlaoox 09/02/22,,,https://author.today/work/226389,,,https://dzen.ru/a/Y1p34EgLAB4ZSi6z?&,1989,,,,+++++,
1989,Смолин Павел Александрович,08. И вновь Золотая Неделя!,Моя анимежизнь,Восьмая часть текстового аниме о попаданце в японского школьника в 1989 году.,***,3,закончено,277,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил завершено. Ivlaoox 09/02/22,,,https://author.today/work/232402,,,https://dzen.ru/a/Y3BzQHuFqh1kAhnJ,1989,,,,+++++,
1989,Смолин Павел Александрович,09. Активация!,Моя анимежизнь,Девятая часть текстового аниме о попаданце в японского школьника со стартом в 1989 году.,***,3,закончено,290,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил завершено. Ivlaoox 09/02/22,,,https://author.today/work/239125,,,https://dzen.ru/a/Y6VHd_sFHm-7W4YT,1989,,,,+++++,
1989,Смолин Павел Александрович,10. Генезис,Моя анимежизнь,"Продолжение приключений попаданца в обычного японского школьника со стартом в 1989 году. Текстовое аниме жанра ""повседневность""",***,3,закончено,302,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/247554,,,https://dzen.ru/a/Y9yY3de3w0y_DK4s,1989,,,,,
1989,Смолин Павел Александрович,11. Возрождение,Моя Анимежизнь,Продолжение приключений попаданца в японского школьника со стартом в 1989 году.,***,3,закончено,356,ссылка на обзор,ссылка,19.10.23 WV,,,,,https://author.today/work/296185,,,https://boosty.to/popal/posts/407becc0-1481-4a76-969c-75b2035b43d0,1989,,,,,
1989,Соловьев Роман,Сквозь время,,"Мог ли подумать Сергей Павлович Кузнецов, когда утром ехал на работу, что вечером он опять станет двенадцатилетним пионером и окажется в далеком 1989 году. В прошлом он встретит молодых родителей и сестру, снова сядет за школьную парту и даже попытается исправить трагическое событие прошлого...",***,3,закончено,93,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,,,,http://flibusta.is/b/600973,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-93-5f93ca72a81c50318e55f8f9,,,,,+++++,
1988,Вед Георгий,1. День совка. Детектив поневоле,День совка,"Он не сберёг свою дочь в наше время и в погоне за справедливостью потерял свою жизнь, так и не сумев должным образом наказать убийцу. Теперь он каждый день просыпается в 1988 году на полке купейного вагона в теле частного детектива и пытается «правильно» прожить отведённый ему день для того чтобы разомкнуть этот порочный круг.",**,2,закончено,248,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,"добавил завершено, название цикла. Ivlaoox 09/02/22",,,https://author.today/work/215556,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-248-62ff4e1aa60eee3e5c1a5517,1988,,,,+++++,
1988,Здрав Олег,1. Снова дембель,Дембель неизбежен,"Два раза срочную? Так не бывает! Но иногда случается. Зато дембель тоже второй раз, если повезет",****,4,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/17039,,,#Н/Д,1988,,,,+++++,
1988,Здрав Олег,2. Страна на дембель,Дембель неизбежен,"Два раза срочную? Так не бывает! Но иногда случается. Зато дембель тоже второй раз, если повезет",****,4,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/18793,,,#Н/Д,1988,,,,+++++,
1988,Здрав Олег,3. Студент на дембель,Дембель неизбежен,"Два раза срочную? Так не бывает! Но иногда случается. Зато дембель тоже второй раз, если повезет",****,4,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/23857,,,#Н/Д,1988,,,,+++++,
1988,Здрав Олег,4. Дембель Советского Союза,Дембель неизбежен,"Два раза срочную? Так не бывает! Но иногда случается. Зато дембель тоже второй раз, если повезет",****,4,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/30831,,,#Н/Д,1988,,,,+++++,
1988,Здрав Олег,5. Весь мир на дембель,Дембель неизбежен,"Два раза срочную? Так не бывает! Но иногда случается. Зато дембель тоже второй раз, если повезет",****,4,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/42596,,,#Н/Д,1988,,,,+++++,
1988,Здрав Олег,6. Не время для дембеля,Дембель неизбежен,"Два раза срочную? Так не бывает! Но иногда случается. Зато дембель тоже второй раз, если повезет",****,4,закончено,52,ссылка на обзор,ссылка,,,изменил статус Ivlaoox 18/02/23,,,https://author.today/work/68383,,,https://author.today/post/86794,1988,,,,+++++,
1988,Костин Константин Ал.,1. Подрядчик,Подрядчик,"Хищение средств во время строительства приводит к тому, что цех, возводимый фирмой Алексея, разваливается прямо на глазах. Подельники, подписывавшие акты за откаты, отворачиваются от подрядчика. Более того - он может сдать пильщиков, а, стало быть, становится опасен. Ненужного свидетеля надо убрать. Алексей пытается скрыться в глухой деревне, в доме своего одноклассника, но попадает в 1988 год. Теперь подрядчик, оказавшись в прошлом, может перестроить будущее. Он может спасти миллионы людей, предотвратить сотни катастроф. Или лучше спасти собственный брак, расколовшийся много лет назад, еще до его начала? Кому нужен весь мир, если рядом нет одной-единственной любимой женщины?",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/16562,,,#Н/Д,1988,,,,+++++,
1988,Костин Константин Ал.,2. Вчера сегодня было завтра,Подрядчик,"Хищение средств во время строительства приводит к тому, что цех, возводимый фирмой Алексея, разваливается прямо на глазах. Подельники, подписывавшие акты за откаты, отворачиваются от подрядчика. Более того - он может сдать пильщиков, а, стало быть, становится опасен. Ненужного свидетеля надо убрать. Алексей пытается скрыться в глухой деревне, в доме своего одноклассника, но попадает в 1988 год. Теперь подрядчик, оказавшись в прошлом, может перестроить будущее. Он может спасти миллионы людей, предотвратить сотни катастроф. Или лучше спасти собственный брак, расколовшийся много лет назад, еще до его начала? Кому нужен весь мир, если рядом нет одной-единственной любимой женщины?",***,3,пишется,115,ссылка на обзор,ссылка,,,,,,https://author.today/work/107076,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-115-6017bef87fd0a5390f4b989e,1988,,,,+++++,
1988,Манасыпов Дмитрий,1. Мой 88-ой: Назад в...,Назад в...,"Из 2020 - в 1988. Обычный офисный сотрудник, пишущий вечерами фантастику, в необычных обстоятельствах - без денег, без документов, без Википедии для справок, без профессии и мастерства, без везения и харизмы как у Скалы, в общем, вроде одетый, но как голый в толпе. И что делать? Спасать СССР? Ктулху упаси, без того дел предостаточно.",***,3,закончено,62,ссылка на обзор,ссылка,,,,,,https://author.today/work/80227,,,https://author.today/post/96759,1988,,,,+++++,
1988,Манасыпов Дмитрий,2. ССД: счастливое советское детство,Назад в...,"Из 2020 - в 1988. Обычный офисный сотрудник, пишущий вечерами фантастику, в необычных обстоятельствах - без денег, без документов, без Википедии для справок, без профессии и мастерства, без везения и харизмы как у Скалы, в общем, вроде одетый, но как голый в толпе. И что делать? Спасать СССР? Ктулху упаси, без того дел предостаточно.",***,3,удалено,#Н/Д,#Н/Д,ссылка,,,нигде нет. убрал ссылку Ivlaoox 17/02/23,,,,,,#Н/Д,1988,,,,+++++,
1988,Манасыпов Дмитрий,3. Мой 92-ой - Охота на…,Назад в...,"СССР закончился как талоны на сигареты с колбасой - нехотя, медленно и, одновременно, сразу. Жизнь изменилась сильно, а вот люди не очень. Пока. Серая холодная осень 1992-го, прячущая в себе миллионы выживающих людей, сотни тысячи разбитых надежд и десятки оборвавшихся жизней, скрывает в себе зверей в человеческой шкуре. Серая дождливая осень 1992-го, пахнущая горящими листьями, потихоньку начинает пахнуть шашлыком из человечины, поджариваемого по границам павшей Красной Империи. Серая мрачная осень... И я, вышедший на охоту, задуманную уже странно давно, в моем новом 88-ом.",***,3,застой,70,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,"добавил год, цикл, ссылку, статус Ivlaoox 17/02/23",,,https://litmarket.ru/books/moy-92-oy-ohota-na,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-70-5f28243f6a87df66b9b63744,,,,,+++++,
1988,Мишин Антон,1988: вернуться нельзя остаться,СССР 1988: Науке приказано выжить,"Сколько ни читай про попаданцев, в реальности всё пойдет по-другому. И действовать придется не по книжным шаблонам. Найти нужных людей, заставить их поверить себе, начать работать на спасение своей семьи - и всё это быстро, очень быстро. Потому что далекий гром уже слышен, а на окраинах великой страны начинает полыхать.",***,3,пишется,354,ссылка на обзор,ссылка,19.09.23 WV,,,,,https://author.today/work/290642,,,https://boosty.to/popal/posts/718e88ea-d1e2-4902-abad-aa11b601c12f,1988,,,,,
1988,Рагорин Алексей,Ракетчики,,"Колониализм, общество разврата и потребления довело планету до ядерной зимы. Человечество медленно вымирало. Волхв русов дал шанс на спасение. Использовать этот шанс выпала судьба воинам-ракетчикам.",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/499681,,,#Н/Д,1988,,,,+++++,
1987,Гале Анна,Визит к прапрадедушке,,"Легко ли решить все денежные проблемы? Конечно! Но только при условии, что в руки попали дневники учёного прапрадедушки – изобретателя, ставившего опыты с телепортацией. Нужно всего лишь в названное в дневнике время войти в портал, попасть в дом прапрадеда и утащить оттуда несколько ценнейших бумаг, которые всё равно не сохранятся в истории. Но так ли это просто, как кажется?",***,3,закончено,"спецвыпуск ""О ЛЫР - ты Мир!""",ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,"год, завершено imryk 14/02",,,https://litmarket.ru/books/vizit-k-prapradedushke,,19 век,https://zen.yandex.ru/media/backinussr/o-lyr-ty-mir-6305f4a5b7ca3f07681bcd8c?&,,,,,+++++,
1987,Евдокимов Георгий,1. Лекарь и Бакс - 1,Лекарь и Бакс,Всякое добро отзовётся... кому просто - Спасибо!.. а кому и неожиданные приключения!,***,3,закончено,#Н/Д,#Н/Д,ссылка,,,,,,http://samlib.ru/e/ewdokimowkapin_g_w/ld02.shtml,,,#Н/Д,1987,,,,+++++,
1987,Евдокимов Георгий,2. Лекарь и Бакс - 2,Лекарь и Бакс,Всякое добро отзовётся... кому просто - Спасибо!.. а кому и неожиданные приключения!,***,3,пишется,#Н/Д,#Н/Д,ссылка,,,,,,http://samlib.ru/e/ewdokimowkapin_g_w/cdlek02.shtml,,,#Н/Д,1987,,,,+++++,
1987,Ждановская Вилена,Пойми меня!,,"23-летняя Женька Рубцова, весьма ленивая, инфантильная и разбалованная девушка. Она живёт в прифронтовом городе, интересуется его историей и пытается вести блог в соцсетях. Женька также живёт со своими родственниками в одном большом доме и часто с ними устраивает перепалки. Помимо всего родители не хотят принимать её молодого человека. Поссорившись с родителями, девушка выходит на улицу и её выкидывает из 2017 в 1987.",***,3,закончено,62,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,автор удалила книгу imryk 15/2,,,,,,https://author.today/post/96759,,,,,+++++,
1987,Порошин Влад,Эфирный эликсир,,"1987 год. Новое советское телевидение бомбит умы телезрителей ""Прожектором перестройки"", Листьевским ""Взглядом"" и информационно развлекает программой ""До и после полуночи"". На улицах крупнейших городов, почуяв воздух свободы, появляются хиппи, панки, рокеры и фанатки ""Ласкового мая"", а так же обиженные на весь мир гопники и любера. Глава Советского союза Михаил Горбачёв тоже решает ""повеселить"" народ, не ограничиваясь ""сухим законом"", вводит талоны на сахар, чтобы свободная жизнь мёдом не казалась. А жизнь эта постепенно закипает и скоро так рванёт, что многие люди не узнают своей собственной страны. Именно в непростой 1987 год попадает главный герой, чтобы оказавшись в теле самого себя спасти от убийцы одну прекрасную девушку. Так как нет злее врага у маньяка, чем в прошлое попавший писака.",***,3,закончено,327,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/268369,,,https://dzen.ru/a/ZE_NdKZIYUH7-aSs,1987,,,,,
1987,Риддер Аристарх,1. Новичок,Центрфорвард,"Со сверкающего льда олимпийского финала на больничную койку нижнетагильской больницы образца лета 1987 года. Вместо белоснежных песков Флориды, виллы на берегу Мексиканского залива и капитанской нашивки в лучшей команде НХЛ - стальное уральское небо и однокомнатная квартира. Вот что приготовила мне судьба. Но я не зря был одним из лучших в своем времени. Если там я стал тем, чью фамилию скандировали болельщики по обоим сторонам океана, то смогу сделать это снова. Тем более что другого выхода у меня нет.",***,3,закончено,309,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/194814,,,https://dzen.ru/a/Y_w-AXIFHgahGYiW,1987,,,,,
1987,Риддер Аристарх,2. Чемпион,Центрфорвард,"Со сверкающего льда олимпийского финала на больничную койку нижнетагильской больницы образца лета 1987 года. Вместо белоснежных песков Флориды, виллы на берегу Мексиканского залива и капитанской нашивки в лучшей команде НХЛ - стальное уральское небо и однокомнатная квартира. Вот что приготовила мне судьба. Но я не зря был одним из лучших в своем времени. Если там я стал тем, чью фамилию скандировали болельщики по обоим сторонам океана, то смогу сделать это снова. Тем более что другого выхода у меня нет.",***,3,закончено,323,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/265833,,,https://dzen.ru/a/ZD9y26j8jHxaKum5,1987,,,,,
1987,Риддер Аристарх,"3. Чемпион, часть вторая",Центрфорвард,"Стать первым центром команды высшей лиги в дебютном сезоне. Сделано. В шестнадцать лет переписать кучу рекордов Советского хоккея. Готово. Выиграть молодежный чемпионат мира. Тоже есть. Победить на олимпиаде и стать лучшим игроком на турнире. Туда же, в копилку. Стать чемпионом страны в составе аутсайдера из провинции. Это в процессе. И впереди меня ждёт заокеанское турне моего ""Автомобилиста"" и переход в лучшую клубную команду мира. Неплохо, но всё самое интересное только начинается!",***,3,закончено,339,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/279088,,,https://dzen.ru/a/ZJEexzjBykUwWORj,1987,,,,,
1987,Риддер Аристарх,4. Кубок Канады 1989,Центрфорвард,"Отгремели игры чемпионата Советского союза по хоккею с шайбой сезона 1987-1988. Триумфатор чемпионата, свердловский ""Автомобилист"" и его лидер, Александр Семенов, летит играть с клубами НХЛ. Впереди у молодого игрока новые соперники, новые испытания, новые турниры и новые победы.",***,3,пишется,366,ссылка на обзор,ссылка,14.12.23 WV,,,,,https://author.today/work/300214,,,https://boosty.to/popal/posts/25f3b8fb-dc12-40de-ac74-f3fe2463bca2,1987,,,,,
1987,Роман,1. Постовой,Оболочка цвета маренго,"Роман о попаданце в самого себя, на тридцать пять лет назад. Детектив, расследование преступлений.",***,3,закончено,247,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,,,,https://author.today/work/214352,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-247-62fa1af420f0b73fcb649b0f?&,1987,,,,+++++,
1987,Роман,2. Коррупционер,Оболочка цвета маренго,"Второй роман цикла о попаданце в самого себя, на тридцать пять лет назад. Детектив, расследование преступлений.",***,3,закончено,258,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,,,,https://author.today/work/219511,,,https://dzen.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-258-6321510015a7bb3d557482a7?&,1985,,,,+++++,
1987,Роман,3. Каратель,Оболочка цвета маренго,"Третий роман цикла о попаданце в самого себя, на тридцать пять лет назад. Детектив, расследование преступлений.",***,3,закончено,275,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил статус завершено IMRYK 09/02/23,,,https://author.today/work/230421,,,https://dzen.ru/a/Y2nxyPQLOy5jzJb-,1977,,,,+++++,
1987,Роман,4. Квартирник,Оболочка цвета маренго,"Четвертый роман цикла о попаданце в самого себя, на тридцать пять лет назад. Детектив, расследование преступлений.",***,3,закончено,298,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,,,,https://author.today/work/246989,,,https://dzen.ru/a/Y89sh5bSkg-KP76g,1987,,,,+++++,
1987,Роман,5. Исполняющий обязанности,Оболочка цвета маренго,"Пятый роман цикла о попаданце в самого себя, на тридцать пять лет назад. Детектив, расследование преступлений.",***,3,закончено,319,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/263302,,,https://dzen.ru/a/ZCu2BpZSeB60Weos,1987,,,,,
1987,Роман,6. Угонщик,Оболочка цвета маренго,"Шестой роман цикла о попаданце в самого себя, на тридцать пять лет назад. Детектив, расследование преступлений.",***,3,закончено,341,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/279125,,,https://dzen.ru/a/ZJqx0Gk_hW80yeZR,1987,,,,,
